encryption_enabled,loss,accuracy,timestamp
True,2.1004463798680884,0.2264,2025-08-22 10:52:11
True,2.083438814825313,0.227,2025-08-22 10:52:11
True,2.0397454932996424,0.2024,2025-08-22 10:52:20
True,2.097313713116251,0.2012,2025-08-22 10:52:20
True,2.04688172051861,0.2098,2025-08-22 10:52:22
True,2.037547703761204,0.2168,2025-08-22 10:52:22
True,2.102346709579419,0.1822,2025-08-22 10:52:59
True,2.2931769121984007,0.1,2025-08-22 10:53:00
True,2.274828271501383,0.1336,2025-08-22 10:53:02
True,2.2687734388242102,0.1304,2025-08-22 10:53:02
True,2.308105430785258,0.092,2025-08-22 10:53:12
True,2.3075566717014193,0.0982,2025-08-22 10:53:13
True,2.1730451356073854,0.1902,2025-08-22 10:53:42
True,2.0168009199154606,0.2414,2025-08-22 10:53:43
True,2.170941770456399,0.1654,2025-08-22 10:53:44
True,2.1727972000267854,0.1848,2025-08-22 10:53:44
True,2.0532524160518766,0.223,2025-08-22 10:53:57
True,2.1087013316002623,0.2134,2025-08-22 10:53:58
True,2.1031166687133207,0.2088,2025-08-22 10:53:59
True,2.0974379459004493,0.2082,2025-08-22 10:53:59
True,2.011089984778386,0.2084,2025-08-22 10:54:10
True,1.9838478747446826,0.244,2025-08-22 10:54:10
True,1.9724177471391715,0.2324,2025-08-22 10:54:12
True,1.9831745958631966,0.2148,2025-08-22 10:54:12
True,2.0129771042781273,0.2424,2025-08-22 11:03:09
True,2.083408746749732,0.1968,2025-08-22 11:03:09
True,2.321121050294038,0.1018,2025-08-22 11:03:11
True,2.3258122182955407,0.0928,2025-08-22 11:03:11
True,2.231466692724046,0.1852,2025-08-22 11:03:22
True,2.0531185569277235,0.208,2025-08-22 11:03:22
True,2.214028679641189,0.1472,2025-08-22 11:03:23
True,2.196725606918335,0.1578,2025-08-22 11:03:23
True,2.085849965453907,0.1812,2025-08-22 11:03:34
True,2.116488351943387,0.1802,2025-08-22 11:03:34
True,2.1571240554189988,0.1776,2025-08-22 11:03:36
True,2.142067690563809,0.1816,2025-08-22 11:03:36
True,2.032892642507128,0.2336,2025-08-22 11:06:23
True,2.030167841607598,0.2078,2025-08-22 11:06:23
True,2.225164938884176,0.1444,2025-08-22 11:06:25
True,2.2253773622452075,0.1488,2025-08-22 11:06:25
True,2.111680958681046,0.1912,2025-08-22 11:06:35
True,2.0060767383332463,0.2528,2025-08-22 11:06:35
True,2.13562381799054,0.1746,2025-08-22 11:06:37
True,2.1451410336099612,0.1738,2025-08-22 11:06:37
True,2.023214962831728,0.262,2025-08-22 11:06:47
True,2.1331404098279916,0.2234,2025-08-22 11:06:47
True,2.15297136413064,0.2086,2025-08-22 11:06:48
True,2.136488380705475,0.221,2025-08-22 11:06:48
True,2.27144151432499,0.135,2025-08-22 11:15:57
True,2.1652991604653136,0.2376,2025-08-22 11:15:57
True,2.2368397872159433,0.1486,2025-08-22 11:15:58
True,2.234571516134177,0.141,2025-08-22 11:15:58
True,2.129564709724135,0.2234,2025-08-22 11:16:06
True,2.1120425948671473,0.215,2025-08-22 11:16:06
True,2.1415261174463165,0.2078,2025-08-22 11:16:07
True,2.1520236290184553,0.2072,2025-08-22 11:16:07
True,2.0394685944174507,0.2156,2025-08-22 11:16:19
True,2.1187901352621186,0.1908,2025-08-22 11:16:19
True,2.0487545804612957,0.2066,2025-08-22 11:16:22
True,2.0550836370249463,0.1966,2025-08-22 11:16:22
True,2.1365109644118387,0.2062,2025-08-22 11:18:05
True,2.0228306958629827,0.2376,2025-08-22 11:18:05
True,2.244026958562766,0.1368,2025-08-22 11:18:06
True,2.240697534220993,0.1416,2025-08-22 11:18:06
True,2.059130240397848,0.2078,2025-08-22 11:18:16
True,2.0114641379398903,0.2314,2025-08-22 11:18:16
True,2.0722128168033187,0.196,2025-08-22 11:18:18
True,2.054998895165267,0.1916,2025-08-22 11:18:18
True,2.0680414787523307,0.2122,2025-08-22 11:18:28
True,2.0042665103438555,0.232,2025-08-22 11:18:28
True,2.010996231607571,0.2176,2025-08-22 11:18:30
True,2.0092201855531924,0.223,2025-08-22 11:18:30
True,2.071214882431516,0.1894,2025-08-22 11:22:42
True,2.118132589728969,0.1478,2025-08-22 11:22:43
True,2.320964849678574,0.1182,2025-08-22 11:22:44
True,2.318118985291499,0.1076,2025-08-22 11:22:44
True,2.09804400820641,0.189,2025-08-22 11:22:51
True,2.111242142452556,0.1954,2025-08-22 11:22:51
True,2.0321713670803483,0.2192,2025-08-22 11:22:52
True,2.0329053371575228,0.2012,2025-08-22 11:22:52
True,2.049238920211792,0.2206,2025-08-22 11:23:00
True,2.009485409517956,0.2134,2025-08-22 11:23:00
True,2.039608953864711,0.2398,2025-08-22 11:23:01
True,2.025457307791254,0.23,2025-08-22 11:23:01
True,2.054819164002777,0.224,2025-08-22 11:25:11
True,2.1640074207524584,0.1884,2025-08-22 11:25:11
True,2.2393371041413324,0.1486,2025-08-22 11:25:13
True,2.234571459946359,0.1478,2025-08-22 11:25:13
True,2.0361821233846578,0.2134,2025-08-22 11:25:25
True,2.0516267847862975,0.2082,2025-08-22 11:25:26
True,2.064221584872835,0.2064,2025-08-22 11:25:28
True,2.078807201355126,0.2126,2025-08-22 11:25:28
True,2.1048541494235873,0.1802,2025-08-22 11:25:40
True,2.047976634304994,0.22,2025-08-22 11:25:41
True,2.0511734781751207,0.2,2025-08-22 11:25:43
True,2.0345019026167073,0.222,2025-08-22 11:25:43
